Date,Time,Latitude,Longitude
2022/02/01,17:59:30,-40.579475,-64.997635
2022/02/01,18:14:25,-40.579472,-64.997635
2022/02/01,18:29:16,-40.579464,-64.997635
2022/02/01,18:44:05,-40.579460,-64.997635
2022/02/01,18:58:52,-40.579453,-64.997635
2022/02/01,19:14:51,-40.579453,-64.997581
2022/02/01,19:30:10,-40.579479,-64.997543
2022/02/01,19:45:25,-40.579403,-64.997467
2022/02/01,20:00:39,-40.579357,-64.997429
2022/02/01,20:16:32,-40.579311,-64.997444
2022/02/01,20:32:44,-40.579311,-64.997520
2022/02/01,20:47:53,-40.579247,-64.997391
2022/02/02,07:09:33,-40.579273,-64.997421
2022/02/02,08:00:19,-40.579273,-64.997421
2022/02/02,08:35:15,-40.579288,-64.997444
2022/02/02,08:50:30,-40.579262,-64.997467
2022/02/02,09:05:49,-40.579269,-64.997452
2022/02/02,09:21:05,-40.579296,-64.997452
2022/02/02,09:36:24,-40.579273,-64.997421
2022/02/02,09:51:56,-40.579132,-64.997391
2022/02/02,10:07:33,-40.579323,-64.997490
2022/02/02,10:23:02,-40.579311,-64.997459
2022/02/02,10:38:14,-40.579308,-64.997452
2022/02/02,10:53:25,-40.579300,-64.997429
2022/02/02,11:08:44,-40.579311,-64.997459
2022/02/02,11:23:56,-40.579311,-64.997429
2022/02/02,11:39:12,-40.579311,-64.997467
2022/02/02,11:54:52,-40.579319,-64.997475
2022/02/02,12:10:31,-40.579311,-64.997452
2022/02/02,12:25:21,-40.579319,-64.997482
2022/02/02,12:40:11,-40.579281,-64.997459
2022/02/02,12:55:01,-40.579266,-64.997444
2022/02/02,13:10:51,-40.579239,-64.997482
2022/02/02,13:26:27,-40.579292,-64.997459
2022/02/02,13:44:55,-40.579361,-64.997391
2022/02/02,14:03:17,-40.579391,-64.997383
2022/02/02,14:34:02,-40.579311,-64.997429
2022/02/02,15:03:28,-40.579296,-64.997429
2022/02/02,15:18:46,-40.579399,-64.997368
2022/02/02,15:34:10,-40.579304,-64.997566
2022/02/02,15:49:59,-40.579372,-64.997543
2022/02/02,16:12:11,-40.579300,-64.997505
2022/02/02,16:34:12,-40.579330,-64.997398
2022/02/02,16:50:00,-40.579231,-64.997482
2022/02/02,17:10:31,-40.579300,-64.997673
2022/02/02,17:33:52,-40.579430,-64.997673
2022/02/02,18:00:03,-40.579323,-64.997490
2022/02/02,18:27:34,-40.579342,-64.997482
2022/02/02,18:43:04,-40.579323,-64.997459
2022/02/02,19:04:59,-40.579403,-64.997383
2022/02/02,19:39:23,-40.579247,-64.997482
2022/02/02,20:43:19,-40.579300,-64.997421
2022/02/03,06:03:53,-40.579292,-64.997467
2022/02/03,06:30:14,-40.579205,-64.997490
2022/02/03,06:45:15,-40.579250,-64.997498
2022/02/03,07:00:20,-40.579247,-64.997459
2022/02/03,07:15:42,-40.579346,-64.997490
2022/02/03,07:33:02,-40.579239,-64.997452
2022/02/03,07:55:37,-40.579315,-64.997467
2022/02/03,08:10:47,-40.579315,-64.997452
2022/02/03,08:25:56,-40.579315,-64.997467
2022/02/03,08:41:10,-40.579323,-64.997475
2022/02/03,08:56:33,-40.579342,-64.997490
2022/02/03,08:57:00,-40.58653,-65.00097
2022/02/03,09:11:58,-40.579323,-64.997475
2022/02/03,09:27:17,-40.579338,-64.997490
2022/02/03,09:42:48,-40.579304,-64.997482
2022/02/03,09:58:30,-40.579296,-64.997475
2022/02/03,10:14:03,-40.579258,-64.997513
