day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;462.0;13;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;467.0;13;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;352.0;15;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;478.0;14;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;231.0;12;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;352.0;16;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;337.0;13;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;437.0;15;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;352.0;16;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;332.0;11;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;518.0;13;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;352.0;16;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;462.0;15;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;533.0;14;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;538.0;9;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;548.0;11;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;467.0;14;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;558.0;15;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;61.0;3;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;51.0;15;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;16.0;10;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;9.0;16;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;29.0;10;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;34.0;11;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;39.0;16;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;49.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;180.0;6;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;185.0;8;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;190.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;195.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;281.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;296.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;346.0;16;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;361.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;195.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;296.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;482.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;497.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;502.0;16;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;512.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;158.0;13;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;68.0;17;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;63.0;18;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;48.0;19;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;83.0;10;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;88.0;10;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;93.0;17;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;103.0;10;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;189.0;18;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;199.0;18;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
