Longitude,Latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension,mat_TrackPointExtension,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,dateTime
-64.999726,-40.582588,0,6,22,144.0,2023/02/28,15:51:58.752+00,,,,,,,,,,,,,,,,6,1.39999997615814,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.200000002980232</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>297.760009765625</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>11</mat:sat_view>,2023-02-28 12:51:58.752000+00:00
-64.999615,-40.583291,0,6,23,173.4,2023/02/28,16:07:08.660+00,,,,,,,,,,,,,,,,5,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.389999985694885</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>183.809997558594</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 13:07:08.660000+00:00
-64.999451,-40.58316,0,6,24,163.2,2023/02/28,16:22:17.498+00,,,,,,,,,,,,,,,,7,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.430000007152557</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>54.6800003051758</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 13:22:17.498000+00:00
-64.99908,-40.583066,0,6,25,165.7,2023/02/28,16:37:35+00,,,,,,,,,,,,,,,,6,1.20000004768372,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.259999990463257</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>65.7200012207031</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 13:37:35+00:00
-64.99867,-40.583176,0,6,26,196.4,2023/02/28,16:52:56+00,,,,,,,,,,,,,,,,8,1.20000004768372,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.529999971389771</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>20.1200008392334</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 13:52:56+00:00
-64.999106,-40.582916,0,6,27,249.2,2023/02/28,17:08:09+00,,,,,,,,,,,,,,,,6,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.340000003576279</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>186.110000610352</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 14:08:09+00:00
-64.999256,-40583.0,0,6,28,232.5,2023/02/28,17:23:15.884+00,,,,,,,,,,,,,,,,7,1.10000002384186,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.430000007152557</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>27.7199993133545</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>8</mat:sat_view>,2023-02-28 14:23:15.884000+00:00
-64.998878,-40.582771,0,6,29,244.9,2023/02/28,17:38:29+00,,,,,,,,,,,,,,,,9,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.270000010728836</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>185.449996948242</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 14:38:29+00:00
-64.999328,-40.583016,0,6,30,250.9,2023/02/28,17:53:42.832+00,,,,,,,,,,,,,,,,6,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.400000005960464</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>116.470001220703</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 14:53:42.832000+00:00
-64.99857,-40.582496,0,6,31,220.8,2023/02/28,18:09:15+00,,,,,,,,,,,,,,,,9,1.39999997615814,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.349999994039536</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>334.730010986328</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 15:09:15+00:00
