lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58345;-64.99811;29/11/2020;1555;*;yagui;macho;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.58318;-64.99844;29/11/2020;1630;*;yagui;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.58289;-64.99867;29/11/2020;1709;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58264;-64.99883;29/11/2020;1757;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58249;-64.99827;29/11/2020;1851;*;yagui;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.58207;-64.99766;29/11/2020;1946;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58206;-64.9977;29/11/2020;1957;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58203;-64.9977;29/11/2020;2024;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58217;-64.99761;30/11/2020;1106;*;yagui;macho;20.2;15.2;17.7;-0.8;27.6;SE;20.2;1020.1;*;0.2;0.5;30
-40.58212;-64.99766;30/11/2020;1206;*;yagui;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.58215;-64.99764;30/11/2020;1244;*;yagui;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.58214;-64.99758;30/11/2020;1323;*;yagui;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.58231;-64.99755;30/11/2020;1414;*;yagui;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.58215;-64.99766;30/11/2020;1512;*;yagui;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.58216;-64.99767;30/11/2020;1620;*;yagui;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.58223;-64.99766;30/11/2020;1721;*;yagui;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.58226;-64.99762;30/11/2020;1851;*;yagui;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.58223;-64.99766;30/11/2020;2028;*;yagui;macho;32.5;7;13.7;-4.7;16.3;NNW;30.4;1020.1;0;0.1;*;30
-40.5822;-64.99765;30/11/2020;2343;*;yagui;macho;32.7;7;13.7;-7.1;11.7;NW;33.8;1020.5;0;0.4;0;30
-40.58209;-64.9976;1/12/2020;1135;*;yagui;macho;34;18.5;26.2;-7.4;10.3;NW;33.9;1015;*;0.6;0.2;30
-40.58206;-64.99729;1/12/2020;1307;*;yagui;macho;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30
-40.58202;-64.99723;1/12/2020;1411;*;yagui;macho;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30
-40.58199;-64.99725;1/12/2020;1505;*;yagui;macho;34;18.5;26.2;-8.7;8.3;NW;29.7;1008.8;0;0.8;0.1;30
-40.58207;-64.99728;1/12/2020;1657;*;yagui;macho;34;18.5;26.2;-9.8;7.6;NW;28.4;1008.8;0;0.8;0.1;30
-40.58215;-64.99725;1/12/2020;1824;*;yagui;macho;35.4;18.5;26.2;-12.6;6.5;WNW;28.1;1008.8;0;0.8;0.1;30
-40.58218;-64.99729;1/12/2020;2007;*;yagui;macho;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30
-40.58213;-64.99734;1/12/2020;2100;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.58212;-64.99731;1/12/2020;2131;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.58205;-64.99729;1/12/2020;2216;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.58209;-64.99728;2/12/2020;1156;*;yagui;macho;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;0;0.6;0.8;30
-40.58203;-64.99731;2/12/2020;1230;*;yagui;macho;37.3;14.8;26;-15.6;7.3;W;29.2;1009.2;0;0.8;0.9;30
-40.58209;-64.99715;2/12/2020;1311;*;yagui;macho;37.3;14.8;26;-14.9;9.1;W;29.7;1010.9;0;0.8;0.9;30
-40.58057;-64.99513;2/12/2020;1421;*;yagui;macho;37.3;14.8;26;-13.7;11.5;W;29.2;1011.7;0;0.8;1;30
-40.57999;-64.99442;2/12/2020;1603;*;yagui;macho;37.3;14.8;26;-10.4;16.1;WSW;27.2;1012.3;0;0.8;1.1;30
-40.57971;-64.99379;2/12/2020;1711;*;yagui;macho;37.3;14.8;26;-7.8;19;SW;26.2;1012.4;0;0.9;1.1;30
-40.57995;-64.99431;2/12/2020;1831;*;yagui;macho;37.3;14.8;26;-5.7;21.3;SSW;25.1;1012.3;0;1;1.1;30
-40.57975;-64.99416;2/12/2020;2055;*;yagui;macho;37.3;14.8;26;-1.4;26.2;SSE;23.2;1011.9;0;1;1.1;30
-40.57968;-64.99387;2/12/2020;2323;*;yagui;macho;27.1;14.8;17.4;4.3;34.9;SE;22.2;1011.2;0;0.9;1.1;30
-40.57965;-64.99386;3/12/2020;1055;*;yagui;macho;23.4;18.4;20.9;5.1;36.7;SE;22.2;1011.6;*;0.8;1.1;30
-40.57967;-64.99387;3/12/2020;1226;*;yagui;macho;23.4;12.8;18.1;4.8;36.2;SE;23;1011.6;0;0.8;1;30
-40.57955;-64.99365;3/12/2020;1332;*;yagui;macho;23.4;12.8;18.1;4.4;35.6;SE;23.7;1011.7;0;0.8;1;30
-40.57999;-64.99645;3/12/2020;1342;*;yagui;macho;23.4;12.8;18.1;4.4;35.6;SE;23.7;1011.7;0;0.8;1;30
-40.58002;-64.99384;3/12/2020;1537;*;yagui;macho;23.4;12.8;18.1;3.7;34.5;SE;24.9;1012.1;0;0.9;1;30
-40.58026;-64.99372;3/12/2020;1727;*;yagui;macho;23.4;12.8;18.1;3.4;34.2;SE;26.1;1012.6;0;0.8;0.9;30
-40.58083;-64.99378;3/12/2020;1940;*;yagui;macho;23.4;12.8;18.1;3;34.3;SE;26.1;1013.4;0;0.7;0.9;30
-40.58085;-64.99381;3/12/2020;2014;*;yagui;macho;23.4;12.8;18.1;2.7;34;SE;25.4;1013.9;0;0.6;0.9;30
