lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58455;-64.99897;29/11/2020;1645;*;yagui;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.58455;-64.99897;29/11/2020;1720;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58455;-64.99898;29/11/2020;1747;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.5844;-64.99825;29/11/2020;1903;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.5844;-64.99807;29/11/2020;1907;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58435;-64.99785;29/11/2020;1912;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58431;-64.99763;29/11/2020;1919;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58427;-64.99761;29/11/2020;1927;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58423;-64.99762;29/11/2020;1930;*;yagui;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.58418;-64.99757;29/11/2020;2006;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58395;-64.99726;29/11/2020;2049;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58391;-64.99725;29/11/2020;2054;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58374;-64.99712;29/11/2020;2120;*;yagui;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.5837;-64.99707;29/11/2020;2135;*;yagui;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.58371;-64.99728;30/11/2020;1125;*;yagui;macho;20.2;15.2;17.7;-0.8;27.6;SE;20.2;1020.1;*;0.2;0.5;30
-40.58374;-64.99741;30/11/2020;1238;*;yagui;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.58371;-64.9975;30/11/2020;1327;*;yagui;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.58425;-64.99867;30/11/2020;1432;*;yagui;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.58456;-64.99896;30/11/2020;1657;*;yagui;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.58458;-64.99893;30/11/2020;1834;*;yagui;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.58457;-64.99898;30/11/2020;2043;*;yagui;macho;32.5;7;13.7;-4.7;16.3;NNW;30.4;1020.1;0;0.1;*;30
-40.58442;-65.0003;30/11/2020;2157;*;yagui;macho;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30
-40.58411;-65.00002;1/12/2020;1149;*;yagui;macho;34;18.5;26.2;-7.4;10.3;NW;33.9;1015;*;0.6;0.2;30
-40.58413;-65.00039;1/12/2020;1253;*;yagui;macho;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30
-40.58419;-65.00045;1/12/2020;1350;*;yagui;macho;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30
-40.58445;-65.00025;1/12/2020;1457;*;yagui;macho;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30
-40.58435;-65.00028;1/12/2020;1610;*;yagui;macho;34;18.5;26.2;-9.8;7.6;NW;28.4;1008.8;0;0.8;0.1;30
-40.58448;-65.00033;1/12/2020;1836;*;yagui;macho;35.4;18.5;26.2;-12.6;6.5;WNW;28.1;1008.8;0;0.8;0.1;30
-40.58476;-65.00016;1/12/2020;2013;*;yagui;macho;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30
-40.58456;-65.0007;1/12/2020;2109;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.58464;-65.00078;1/12/2020;2149;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.58463;-65.00073;1/12/2020;2226;*;yagui;macho;36.5;18.5;23.2;-15.8;5.4;WNW;27.7;1008.8;0;0.8;0.6;30
-40.58455;-65.00074;2/12/2020;1112;*;yagui;macho;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;*;0.6;0.8;30
-40.58464;-65.00074;2/12/2020;1148;*;yagui;macho;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;*;0.6;0.8;30
-40.58464;-65.00074;2/12/2020;1223;*;yagui;macho;37.3;14.8;26;-15.6;7.3;W;29.2;1009.2;0;0.8;0.9;30
-40.58465;-65.00082;2/12/2020;1259;*;yagui;macho;37.3;14.8;26;-15.6;7.3;W;29.2;1009.2;0;0.8;0.9;30
-40.58463;-65.00142;2/12/2020;1348;*;yagui;macho;37.3;14.8;26;-14.9;9.1;W;29.7;1010.9;0;0.8;0.9;30
-40.58461;-65.00161;2/12/2020;1445;*;yagui;macho;37.3;14.8;26;-13.7;11.5;W;29.2;1011.7;0;0.8;1;30
-40.58462;-65.00166;2/12/2020;1619;*;yagui;macho;37.3;14.8;26;-10.4;16.1;WSW;27.2;1012.3;0;0.8;1.1;30
-40.58468;-65.00172;2/12/2020;1731;*;yagui;macho;37.3;14.8;26;-7.8;19;SW;26.2;1012.4;0;0.9;1.1;30
-40.58458;-64.99877;2/12/2020;1737;*;yagui;macho;37.3;14.8;26;-7.8;19;SW;26.2;1012.4;0;0.9;1.1;30
-40.58467;-65.0016;2/12/2020;1942;*;yagui;macho;37.3;14.8;26;-3.5;23.9;S;24.2;1012.1;0;1;1.1;30
-40.58461;-65.00159;2/12/2020;2133;*;yagui;macho;37.3;14.8;26;0.7;28.6;SSE;22.7;1011.6;0;1;1.1;30
-40.5846;-65.00163;2/12/2020;2208;*;yagui;macho;35.3;14.8;17.4;2.9;31.7;SE;22.2;1011.4;0;1;1.1;30
-40.58458;-65.00161;3/12/2020;1042;*;yagui;macho;23.4;18.4;20.9;5.1;36.7;SE;22.2;1011.6;*;0.8;1.1;30
-40.58459;-65.00161;3/12/2020;1150;*;yagui;macho;23.4;18.4;20.9;5.1;36.7;SE;22.2;1011.6;*;0.8;1.1;30
-40.58459;-65.0016;3/12/2020;1220;*;yagui;macho;23.4;12.8;18.1;4.8;36.2;SE;23;1011.6;0;0.8;1;30
-40.58465;-65.00215;3/12/2020;1322;*;yagui;macho;23.4;12.8;18.1;4.4;35.6;SE;23.7;1011.7;0;0.8;1;30
-40.58508;-65.00198;3/12/2020;1433;*;yagui;macho;23.4;12.8;18.1;3.9;34.8;SE;24.5;1011.9;0;0.9;1;30
-40.58514;-65.00191;3/12/2020;1530;*;yagui;macho;23.4;12.8;18.1;3.7;34.5;SE;24.9;1012.1;0;0.9;1;30
-40.58521;-65.00131;3/12/2020;1710;*;yagui;macho;23.4;12.8;18.1;3.4;34.2;SE;26.1;1012.6;0;0.8;0.9;30
-40.58523;-65.00104;3/12/2020;1835;*;yagui;macho;23.4;12.8;18.1;3.3;34.5;SE;26.1;1012.9;0;0.8;0.9;30
-40.58649;-65.00123;3/12/2020;2005;*;yagui;macho;23.4;12.8;18.1;2.7;34;SE;25.4;1013.9;0;0.6;0.9;30
-40.5865;-65.00195;3/12/2020;2338;*;yagui;macho;20;12.8;16.3;1.7;32.9;SE;25.4;1016.2;0;0.5;0.8;30
