lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58491;-64.99823;29/11/2020;1744;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58457;-64.99896;29/11/2020;1815;*;yagui;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.58491;-64.99823;29/11/2020;2036;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58488;-64.99823;29/11/2020;2110;*;yagui;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.584941;-64.998254;30/11/2020;1146;35.62;tortugómetro;macho;20.2;15.2;17.7;-0.8;27.6;SE;20.2;1020.1;*;0.2;0.5;30
-40.584837;-64.998202;30/11/2020;1156;30;tortugómetro;macho;20.2;15.2;17.7;-0.8;27.6;SE;20.2;1020.1;*;0.2;0.5;30
-40.584822;-64.998202;30/11/2020;1206;36.29;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.58485;-64.998188;30/11/2020;1216;47.99;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.584854;-64.998204;30/11/2020;1226;52.23;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.584901;-64.998213;30/11/2020;1236;43.73;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.584888;-64.998222;30/11/2020;1246;37.65;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.584887;-64.998225;30/11/2020;1255;36.92;tortugómetro;macho;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30
-40.584886;-64.998209;30/11/2020;1305;36.99;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.584884;-64.998128;30/11/2020;1315;46.56;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.584872;-64.998127;30/11/2020;1325;43.33;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.58488;-64.998191;30/11/2020;1335;42.28;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.584871;-64.998115;30/11/2020;1345;40.52;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.58489;-64.99823;30/11/2020;1348;*;yagui;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.584863;-64.998007;30/11/2020;1355;41.98;tortugómetro;macho;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30
-40.584895;-64.998224;30/11/2020;1405;39.56;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584685;-64.998231;30/11/2020;1415;34.14;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584899;-64.998213;30/11/2020;1424;33.87;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584899;-64.998224;30/11/2020;1434;35.69;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584904;-64.998216;30/11/2020;1444;35.76;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584897;-64.998194;30/11/2020;1454;36.48;tortugómetro;macho;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30
-40.584789;-64.998223;30/11/2020;1504;36.61;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.584838;-64.998237;30/11/2020;1514;36.96;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.584852;-64.998255;30/11/2020;1524;38.49;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.584921;-64.998175;30/11/2020;1534;37.44;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.58487;-64.998239;30/11/2020;1544;36.52;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.584925;-64.998232;30/11/2020;1554;36.79;tortugómetro;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.584903;-64.998224;30/11/2020;1603;36.73;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.5849;-64.99823;30/11/2020;1609;*;yagui;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.584882;-64.998232;30/11/2020;1613;37.95;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.584898;-64.998232;30/11/2020;1623;38.17;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.58489;-64.998227;30/11/2020;1633;39.28;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.584877;-64.998222;30/11/2020;1643;37.79;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.584888;-64.998228;30/11/2020;1653;37.93;tortugómetro;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.58489;-64.998204;30/11/2020;1703;38.07;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584894;-64.998209;30/11/2020;1713;38.56;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584836;-64.998069;30/11/2020;1723;38.9;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584864;-64.998248;30/11/2020;1732;38.68;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584832;-64.998171;30/11/2020;1742;37.77;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584814;-64.998182;30/11/2020;1752;37.67;tortugómetro;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.584906;-64.998223;30/11/2020;1803;38.33;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.58491;-64.998206;30/11/2020;1812;38.69;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.584904;-64.998231;30/11/2020;1822;39.57;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.584918;-64.99825;30/11/2020;1832;38.51;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.584906;-64.998237;30/11/2020;1842;38.16;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.584891;-64.998237;30/11/2020;1851;39.35;tortugómetro;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.584904;-64.998211;30/11/2020;1901;40.68;tortugómetro;macho;32;7;13.7;-3.8;18.2;NNW;29.8;1020;0;0;*;30
-40.584902;-64.998236;30/11/2020;1911;40.33;tortugómetro;macho;32;7;13.7;-3.8;18.2;NNW;29.8;1020;0;0;*;30
-40.58489;-64.998214;30/11/2020;1921;45.53;tortugómetro;macho;32;7;13.7;-3.8;18.2;NNW;29.8;1020;0;0;*;30
-40.584879;-64.998198;30/11/2020;1931;42.55;tortugómetro;macho;32;7;13.7;-3.8;18.2;NNW;29.8;1020;0;0;*;30
-40.58491;-64.998235;30/11/2020;1941;40.66;tortugómetro;macho;32;7;13.7;-3.8;18.2;NNW;29.8;1020;0;0;*;30
