lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58321;-64.99792;30/11/2020;1529;*;yagui;macho;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30
-40.58331;-64.99791;30/11/2020;1613;*;yagui;macho;27.4;7;13.7;-1.6;23.4;NNE;26.2;1019.9;0;0;*;30
-40.58363;-64.99824;30/11/2020;1717;*;yagui;macho;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30
-40.58401;-64.99857;30/11/2020;1844;*;yagui;macho;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30
-40.5844;-64.99854;30/11/2020;2002;*;yagui;macho;32.5;7;13.7;-4.7;16.3;NNW;30.4;1020.1;0;0.1;*;30
-40.58443;-64.99834;30/11/2020;2109;*;yagui;macho;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30
-40.58438;-64.99808;30/11/2020;2140;*;yagui;macho;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30
-40.58425;-64.99789;1/12/2020;1204;*;yagui;macho;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30
-40.58423;-64.99809;1/12/2020;1235;*;yagui;macho;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30
-40.584;-64.99856;1/12/2020;1321;*;yagui;macho;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30
-40.58419;-64.99881;1/12/2020;1438;*;yagui;macho;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30
-40.58413;-64.99884;1/12/2020;1514;*;yagui;macho;34;18.5;26.2;-8.7;8.3;NW;29.7;1008.8;0;0.8;0.1;30
-40.58415;-64.99898;1/12/2020;1651;*;yagui;macho;34;18.5;26.2;-9.8;7.6;NW;28.4;1008.8;0;0.8;0.1;30
-40.58418;-64.99889;1/12/2020;1827;*;yagui;macho;35.4;18.5;26.2;-12.6;6.5;WNW;28.1;1008.8;0;0.8;0.1;30
-40.58421;-64.99885;1/12/2020;2004;*;yagui;macho;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30
-40.58422;-64.99902;1/12/2020;2057;*;yagui;macho;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30
-40.58416;-64.99887;1/12/2020;2127;*;yagui;macho;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
