lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.583956;-64.998587;29/11/2020;1610;40.17;tortugómetro;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.584055;-64.998452;29/11/2020;1620;40.27;tortugómetro;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.5841;-64.998542;29/11/2020;1630;48.98;tortugómetro;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.583922;-64.998551;29/11/2020;1640;43.69;tortugómetro;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.584008;-64.998635;29/11/2020;1650;40.38;tortugómetro;macho;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.583991;-64.998621;29/11/2020;1700;43.5;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.583977;-64.998534;29/11/2020;1710;43.19;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.584654;-64.999229;29/11/2020;1721;44.31;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.584206;-64.99865;29/11/2020;1730;42.14;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.584641;-64.998533;29/11/2020;1741;42.14;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58292;-64.999004;29/11/2020;1750;41.71;tortugómetro;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.58399;-64.9986;29/11/2020;1750;*;yagui;macho;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30
-40.584933;-64.998579;29/11/2020;1801;41.07;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.584047;-64.998521;29/11/2020;1811;42.83;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.584;-64.99862;29/11/2020;1818;*;yagui;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.583065;-64.999637;29/11/2020;1821;42.06;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.583948;-64.998816;29/11/2020;1831;40.45;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.583944;-64.998604;29/11/2020;1841;37.42;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.583941;-64.998548;29/11/2020;1851;36.37;tortugómetro;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.58398;-64.99861;29/11/2020;1857;*;yagui;macho;31;10.8;20.9;1.1;26.9;SSW;26.7;1014.8;0;2.2;2.5;30
-40.583226;-64.998309;29/11/2020;1901;36.16;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.583922;-64.997335;29/11/2020;1911;36.35;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.584369;-64.999176;29/11/2020;1921;36.41;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.582614;-64.996379;29/11/2020;1931;36.31;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.583983;-64.998588;29/11/2020;1942;36.18;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.583992;-64.998616;29/11/2020;1951;36.13;tortugómetro;macho;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30
-40.583816;-64.99836;29/11/2020;2001;36.16;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58401;-64.998581;29/11/2020;2011;35.57;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.583993;-64.998633;29/11/2020;2021;35.5;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.583909;-64.998398;29/11/2020;2031;35.77;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.58399;-64.99863;29/11/2020;2040;*;yagui;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.584104;-64.998524;29/11/2020;2041;35.51;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.584055;-64.998521;29/11/2020;2051;35.49;tortugómetro;macho;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30
-40.584192;-64.99861;29/11/2020;2101;35.38;tortugómetro;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.583753;-64.998403;29/11/2020;2112;35.63;tortugómetro;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.584092;-64.998734;29/11/2020;2122;35.53;tortugómetro;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
-40.583965;-64.998575;29/11/2020;2132;35.31;tortugómetro;macho;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30
