lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58443;-64.99834;30/11/2020;2109;*;yagui;hembra;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30
-40.58438;-64.99808;30/11/2020;2140;*;yagui;hembra;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30
-40.58417;-64.99802;1/12/2020;1157;*;yagui;hembra;34;18.5;26.2;-7.4;10.3;NW;33.9;1015;*;0.6;0.2;30
-40.58409;-64.99805;1/12/2020;1241;*;yagui;hembra;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30
-40.58409;-64.99804;1/12/2020;1318;*;yagui;hembra;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30
-40.58408;-64.99803;1/12/2020;1347;*;yagui;hembra;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30
-40.58409;-64.99801;1/12/2020;1433;*;yagui;hembra;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30
-40.58411;-64.99801;1/12/2020;1525;*;yagui;hembra;34;18.5;26.2;-8.7;8.3;NW;29.7;1008.8;0;0.8;0.1;30
-40.58406;-64.99803;1/12/2020;1618;*;yagui;hembra;34;18.5;26.2;-9.8;7.6;NW;28.4;1008.8;0;0.8;0.1;30
-40.58414;-64.998;1/12/2020;1846;*;yagui;hembra;35.4;18.5;26.2;-12.6;6.5;WNW;28.1;1008.8;0;0.8;0.1;30
-40.58418;-64.99807;1/12/2020;2019;*;yagui;hembra;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30
-40.5841;-64.99803;1/12/2020;2130;*;yagui;hembra;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30
-40.5841;-64.99802;1/12/2020;2207;*;yagui;hembra;36.5;18.5;23.2;-15.8;5.4;WNW;27.7;1008.8;0;0.8;0.6;30
-40.58413;-64.99809;1/12/2020;2240;*;yagui;hembra;36.5;18.5;23.2;-15.8;5.4;WNW;27.7;1008.8;0;0.8;0.6;30
-40.58407;-64.99804;2/12/2020;1124;*;yagui;hembra;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;0;0.6;0.8;30
-40.58408;-64.99803;2/12/2020;1155;*;yagui;hembra;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;0;0.6;0.8;30
-40.58409;-64.99803;2/12/2020;1226;*;yagui;hembra;37.3;14.8;26;-15.6;7.3;W;29.2;1009.2;0;0.8;0.9;30.0 !Este punto decÃ­a CT29 en vez de CT79 en excel pero C79 en cuaderno
-40.58421;-64.99867;2/12/2020;1334;*;yagui;hembra;37.3;14.8;26;-14.9;9.1;W;29.7;1010.9;0;0.8;0.9;30
