lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);TemprocÃ­omediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.584344;-64.997069;10/1/2021;1428;39.04;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584337;-64.996771;10/1/2021;1433;39.97;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584321;-64.996743;10/1/2021;1438;40.19;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584286;-64.996668;10/1/2021;1443;37.88;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584261;-64.996387;10/1/2021;1448;40.86;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584325;-64.996211;10/1/2021;1453;41.96;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584276;-64.996204;10/1/2021;1458;39.2;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.584326;-64.996223;10/1/2021;1503;37.01;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584333;-64.99624;10/1/2021;1508;36.15;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584346;-64.996235;10/1/2021;1513;35.94;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584311;-64.996196;10/1/2021;1518;35.29;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584348;-64.996252;10/1/2021;1523;34.91;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584544;-64.996309;10/1/2021;1528;34.37;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584322;-64.99618;10/1/2021;1533;34.16;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.58438;-64.996167;10/1/2021;1538;34.04;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584371;-64.996232;10/1/2021;1543;34.39;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.584344;-64.996223;10/1/2021;1548;34.09;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
